model,label,precision,recall,f1,tp,fp,fn
project,NAME_STUDENT,0.4269881392183343,0.909128544814644,0.5810676717222426,8784,11788,878
project,EMAIL,0.9807474518682594,0.8446033810140298,0.9075982527775736,2598,51,478
project,ID_NUM,0.9505703422044196,0.3393281303018869,0.50012503086984,1000,52,1947
project,PHONE_NUM,0.9862884160751838,0.6808093994775846,0.8055609186128279,2086,29,978
project,URL_PERSONAL,0.9999999999996111,0.8426745329397435,0.9146211307733301,2571,0,480
project,USERNAME,0.0,0.0,0.0,0,0,2896
project,STREET_ADDRESS,0.0,0.0,0.0,0,129,2817
presidio,EMAIL,0.9804290553251861,0.8468790637188405,0.9087737654189768,2605,52,471
presidio,URL_PERSONAL,0.08296776654585486,0.14790887453242166,0.1063049848767768,435,4808,2506
presidio,NAME_STUDENT,0.41953678147124207,0.9446946496125973,0.5810365359580939,10488,14511,614
presidio,STREET_ADDRESS,0.0,0.0,0.0,0,2647,2817
presidio,PHONE_NUM,0.9505267979839896,0.6772193211486041,0.7909281489325101,2075,108,989
presidio,USERNAME,0.0,0.0,0.0,0,0,2896
presidio,ID_NUM,0.9999999999986595,0.2535690006797235,0.40455531421068036,746,0,2196
