label,gold_count,project_pred_count,presidio_pred_count
ARTWORK_TITLE,0,118,0
DATE_TIME,0,3051,3918
DRIVER_LICENSE,0,1031,0
EMAIL,2930,2649,2657
EU_VAT,0,31,0
EVENT_NAME,0,16,0
FACILITY_NAME,0,219,0
FINANCIAL_AMOUNT,0,5,0
IBAN_CODE,0,0,501
ID_NUM,2906,1052,746
INDIA_VEHICLE_REG,0,2,0
LANGUAGE_NAME,0,1,0
LEGAL_DOCUMENT,0,5,0
LOCALITY,0,287,0
LOCATION,0,2553,0
MEDICAL_LICENSE,0,0,67
NAME_STUDENT,2948,20572,24999
NATIONALITY_GROUP,0,305,0
NETHERLANDS_POSTCODE,0,6,0
NRP,0,0,145
ORGANIZATION,0,4052,0
PASSPORT,0,252,0
PHONE_NUM,2979,2115,2183
PIN_CODE,0,3,0
STREET_ADDRESS,2817,129,2647
UK_NHS,0,0,58
UK_POSTCODE,0,17,0
UK_VEHICLE_REG,0,2,0
URL_PERSONAL,2924,2571,5243
USERNAME,2896,0,0
US_BANK_NUMBER,0,0,483
US_DRIVER_LICENSE,0,0,821
US_ITIN,0,0,9
US_PASSPORT,0,0,502
ZIP_CODE,0,2344,0
